fragment,cid,cavity_id,cavity_centre_x,cavity_centre_y,cavity_centre_z,cavity_druggability,d_active_site,seed,top1,top3_mean,ok,wall_s,mw,logp
frag_CID22311,22311,manual_chainA_res42,-20.76300048828125,4.802000045776367,9.331999778747559,,21.440865835437695,42,-4.465,-4.331,True,1.53,136.238,3.308900000000002
frag_CID25245,25245,manual_chainA_res42,-20.76300048828125,4.802000045776367,9.331999778747559,,21.440865835437695,42,-4.447,-4.396333333333334,True,4.75,197.246,-0.7107999999999994
frag_CID35814,35814,manual_chainA_res42,-20.76300048828125,4.802000045776367,9.331999778747559,,21.440865835437695,42,-4.845,-4.744,True,7.6,232.35100000000003,2.0910999999999995
frag_CID49846,49846,manual_chainA_res42,-20.76300048828125,4.802000045776367,9.331999778747559,,21.440865835437695,42,,,False,,334.398,-3.021889999999997
frag_CID60656,60656,manual_chainA_res42,-20.76300048828125,4.802000045776367,9.331999778747559,,21.440865835437695,42,,,False,,343.89500000000004,2.8152000000000017
frag_CID1983,1983,manual_chainA_res26,-12.991999626159668,21.290000915527344,-8.496000289916992,,31.871389196874834,42,-4.253,-4.067333333333334,True,2.29,151.165,1.3505999999999998
frag_CID2244,2244,manual_chainA_res26,-12.991999626159668,21.290000915527344,-8.496000289916992,,31.871389196874834,42,-4.282,-4.236666666666667,True,3.12,180.15899999999996,1.3101
frag_CID2519,2519,manual_chainA_res26,-12.991999626159668,21.290000915527344,-8.496000289916992,,31.871389196874834,42,-4.425,-4.270333333333333,True,1.49,194.194,-1.0293
frag_CID3672,3672,manual_chainA_res26,-12.991999626159668,21.290000915527344,-8.496000289916992,,31.871389196874834,42,-4.811,-4.6883333333333335,True,3.77,206.28499999999997,3.073200000000001
frag_CID4173,4173,manual_chainA_res26,-12.991999626159668,21.290000915527344,-8.496000289916992,,31.871389196874834,42,-3.96,-3.924,True,3.09,171.15599999999998,0.09201999999999982
frag_CID5564,5564,manual_chainA_res26,-12.991999626159668,21.290000915527344,-8.496000289916992,,31.871389196874834,42,-5.006,-4.944,True,4.6,289.54499999999996,5.144700000000002
frag_CID6202,6202,manual_chainA_res26,-12.991999626159668,21.290000915527344,-8.496000289916992,,31.871389196874834,42,,,False,,337.27599999999995,-1.966459999999998
frag_CID6253,6253,manual_chainA_res26,-12.991999626159668,21.290000915527344,-8.496000289916992,,31.871389196874834,42,-4.789,-4.648333333333333,True,6.11,243.21900000000002,-2.562999999999999
frag_CID7032,7032,manual_chainA_res26,-12.991999626159668,21.290000915527344,-8.496000289916992,,31.871389196874834,42,-4.858,-4.843333333333333,True,4.8,242.27399999999997,2.934800000000001
frag_CID8094,8094,manual_chainA_res26,-12.991999626159668,21.290000915527344,-8.496000289916992,,31.871389196874834,42,-3.452,-3.4116666666666666,True,3.37,130.187,2.0414
frag_CID8654,8654,manual_chainA_res26,-12.991999626159668,21.290000915527344,-8.496000289916992,,31.871389196874834,42,,,False,,342.36,-1.4409999999999992
frag_CID9087,9087,manual_chainA_res26,-12.991999626159668,21.290000915527344,-8.496000289916992,,31.871389196874834,42,-4.511,-4.269333333333333,True,4.39,171.156,-0.9517999999999993
frag_CID10257,10257,manual_chainA_res26,-12.991999626159668,21.290000915527344,-8.496000289916992,,31.871389196874834,42,-4.989,-4.740333333333333,True,4.12,204.273,1.9776000000000002
frag_CID13558,13558,manual_chainA_res26,-12.991999626159668,21.290000915527344,-8.496000289916992,,31.871389196874834,42,-3.444,-3.341333333333333,True,2.53,128.259,3.468700000000003
frag_CID14888,14888,manual_chainA_res26,-12.991999626159668,21.290000915527344,-8.496000289916992,,31.871389196874834,42,,,False,,197.841,-1.118
frag_CID22311,22311,manual_chainA_res26,-12.991999626159668,21.290000915527344,-8.496000289916992,,31.871389196874834,42,-3.964,-3.8649999999999998,True,1.35,136.238,3.308900000000002
frag_CID25245,25245,manual_chainA_res26,-12.991999626159668,21.290000915527344,-8.496000289916992,,31.871389196874834,42,-4.521,-4.479,True,3.86,197.246,-0.7107999999999994
frag_CID35814,35814,manual_chainA_res26,-12.991999626159668,21.290000915527344,-8.496000289916992,,31.871389196874834,42,-5.188,-5.082,True,7.04,232.35100000000003,2.0910999999999995
frag_CID49846,49846,manual_chainA_res26,-12.991999626159668,21.290000915527344,-8.496000289916992,,31.871389196874834,42,,,False,,334.398,-3.021889999999997
frag_CID60656,60656,manual_chainA_res26,-12.991999626159668,21.290000915527344,-8.496000289916992,,31.871389196874834,42,,,False,,343.89500000000004,2.8152000000000017
frag_CID1983,1983,manual_chainA_res284,17.604999542236328,26.892000198364258,-3.562999963760376,,34.33318277395246,42,-4.194,-4.118333333333333,True,2.15,151.165,1.3505999999999998
frag_CID2244,2244,manual_chainA_res284,17.604999542236328,26.892000198364258,-3.562999963760376,,34.33318277395246,42,-4.323,-4.113666666666667,True,2.83,180.15899999999996,1.3101
frag_CID2519,2519,manual_chainA_res284,17.604999542236328,26.892000198364258,-3.562999963760376,,34.33318277395246,42,-4.077,-4.068333333333333,True,1.58,194.194,-1.0293
frag_CID3672,3672,manual_chainA_res284,17.604999542236328,26.892000198364258,-3.562999963760376,,34.33318277395246,42,-5.061,-4.597666666666666,True,4.11,206.28499999999997,3.073200000000001
frag_CID4173,4173,manual_chainA_res284,17.604999542236328,26.892000198364258,-3.562999963760376,,34.33318277395246,42,-3.64,-3.6253333333333333,True,3.29,171.15599999999998,0.09201999999999982
frag_CID5564,5564,manual_chainA_res284,17.604999542236328,26.892000198364258,-3.562999963760376,,34.33318277395246,42,-5.165,-4.942666666666667,True,4.54,289.54499999999996,5.144700000000002
frag_CID6202,6202,manual_chainA_res284,17.604999542236328,26.892000198364258,-3.562999963760376,,34.33318277395246,42,,,False,,337.27599999999995,-1.966459999999998
frag_CID6253,6253,manual_chainA_res284,17.604999542236328,26.892000198364258,-3.562999963760376,,34.33318277395246,42,-4.544,-4.492333333333334,True,6.87,243.21900000000002,-2.562999999999999
frag_CID7032,7032,manual_chainA_res284,17.604999542236328,26.892000198364258,-3.562999963760376,,34.33318277395246,42,-5.42,-5.417666666666666,True,5.11,242.27399999999997,2.934800000000001
frag_CID8094,8094,manual_chainA_res284,17.604999542236328,26.892000198364258,-3.562999963760376,,34.33318277395246,42,-3.343,-3.264333333333333,True,3.04,130.187,2.0414
frag_CID8654,8654,manual_chainA_res284,17.604999542236328,26.892000198364258,-3.562999963760376,,34.33318277395246,42,,,False,,342.36,-1.4409999999999992
frag_CID9087,9087,manual_chainA_res284,17.604999542236328,26.892000198364258,-3.562999963760376,,34.33318277395246,42,-3.888,-3.7746666666666666,True,4.2,171.156,-0.9517999999999993
frag_CID10257,10257,manual_chainA_res284,17.604999542236328,26.892000198364258,-3.562999963760376,,34.33318277395246,42,-4.592,-4.558333333333334,True,4.42,204.273,1.9776000000000002
frag_CID13558,13558,manual_chainA_res284,17.604999542236328,26.892000198364258,-3.562999963760376,,34.33318277395246,42,-3.372,-3.313,True,2.59,128.259,3.468700000000003
frag_CID14888,14888,manual_chainA_res284,17.604999542236328,26.892000198364258,-3.562999963760376,,34.33318277395246,42,,,False,,197.841,-1.118
frag_CID22311,22311,manual_chainA_res284,17.604999542236328,26.892000198364258,-3.562999963760376,,34.33318277395246,42,-4.41,-4.1226666666666665,True,1.29,136.238,3.308900000000002
frag_CID25245,25245,manual_chainA_res284,17.604999542236328,26.892000198364258,-3.562999963760376,,34.33318277395246,42,-4.174,-4.135666666666666,True,3.68,197.246,-0.7107999999999994
frag_CID35814,35814,manual_chainA_res284,17.604999542236328,26.892000198364258,-3.562999963760376,,34.33318277395246,42,-4.469,-4.4143333333333326,True,10.55,232.35100000000003,2.0910999999999995
frag_CID49846,49846,manual_chainA_res284,17.604999542236328,26.892000198364258,-3.562999963760376,,34.33318277395246,42,,,False,,334.398,-3.021889999999997
frag_CID60656,60656,manual_chainA_res284,17.604999542236328,26.892000198364258,-3.562999963760376,,34.33318277395246,42,,,False,,343.89500000000004,2.8152000000000017
